ГЕОФАК,специальность,"Специальности высшего образования уровня бакалавриат по направлению ... 36 профессий, для которых базой является специальность География."
ГЕОФАК,структурное подразделение,Структурные подразделения факультета. Деканат · Кафедра природопользования и геоэкологии Кафедра природопользования и геоэкологии готовит ...
ГЕОФАК,департамент,"Географический факультет МГУ имени М.В.Ломоносова – крупнейший в ... РАН и Сергей Хрущёв — экономист, директор департамента госполитики и ..."
ГЕРИАТРИЯ,геронтология,"Гериатрия (греч. gérōn, старик + iatréia, лечение) — частный раздел геронтологии, занимающийся изучением, профилактикой и лечением болезней ..."
ГЕРИАТРИЯ,наука,"Гериатрия (греч. gérōn, старик + iatréia, лечение) — частный раздел геронтологии, ... стоматологии, хирургии, урологии и других областях медицины есть свои научные и практические проблемы, которые связаны с гериатрией."
ГЕРИАТРИЯ,изучение болезней,"Гериатрия (греч. gérōn, старик + iatréia, лечение) — частный раздел геронтологии, занимающийся изучением, профилактикой и лечением болезней ..."
ГЕРИАТРИЯ,знание,"Геронтоло́гия (от др.-греч. γέρων «старик» + λόγος «знание, слово, учение») — наука, ... Составными частями геронтологии являются гериатрия — учение о болезнях, связанных с инволюционными изменениями, а также ..."
ГЕРИАТРИЯ,лечение,"Гериатрия (греч. gérōn, старик + iatréia, лечение) — частный раздел геронтологии, занимающийся изучением, профилактикой и лечением болезней ..."
ГЕРМАНИЗАЦИЯ,распространение языка,Германиза́ция — общее название для распространения немецкого языка и культуры среди других народов в результате естественной или ...
ГЕРМАНИЗАЦИЯ,распространения культуры,Германиза́ция — общее название для распространения немецкого языка и культуры среди других народов в результате естественной или ...
ГЕРМЕТИК,паста,"Паста-герметик. Продажа, поиск, поставщики и магазины, цены в Казахстане."
ГЕРМЕТИК,материал,
ГЕРМЕТИК,смазка,Смазка герметик для стекло-пластиковой обсадной трубы TF-15. Актюбинская область. Под заказ. Цену уточняйте. Написать. SWAG смазка-герметик ...
ГЕРМЕТИК,замазка,"2009 ж. 21 қыр. - #1379530. Рома написал : Может есть оконные герметики с неклеящими свойствами, как у замазки? А разве герметик нельзя прорезать ..."
ГЕРОНТОЛОГ,врач,Только после всестороннего обследования врач назначает лечебные препараты. При этом геронтолог учитывает особенности действия лекарства у лиц ...
ГЕРОНТОЛОГ,специалист,"Врач-гериатр — это «возрастной врач», специалист по лечению больных пожилого и старческого возраста. Мы расскажем вам о том, где работает ..."
ГЕРОНТОЛОГ,доктор,Только после всестороннего обследования врач назначает лечебные препараты. При этом геронтолог учитывает особенности действия лекарства у лиц ...
ГЕРОНТОЛОГ,человек,Old man chechia.jpg. Геронтология(грекше geron және logos – ілім) – адамның және жануарлар организмінің қартаю заңдылықтарын зерттейтін ғылым.
ГЕРОНТОЛОГ,профессия,Кто такой Геронтолог. Описание профессии геронтолога. Где учат на геронтолога. Клиническая психология. Социальная работа. Требования к работе ...
ГЕСТАПОВЕЦ,сотрудник гестапо,"Геста́по (нем. Gestapo; сокращение от нем. Geheime Staatspolizei, «тайная ... К концу войны численность сотрудников гестапо превышала 40 000 ..."
ГЕСТАПОВЕЦ,человек,К концу войны численность сотрудников гестапо превышала 40 000 человек. В соответствии с организационным планом на март 1941 года IV управление ...
ГЕСТАПОВЕЦ,тайная военная полиция,"Геста́по (нем. Gestapo; сокращение от нем. Geheime Staatspolizei, «тайная государственная полиция») — политическая полиция Третьего ... Вердикт Международного военного трибунала объявил гестапо, СС и СД организациями, ..."
ГЕСТАПОВЕЦ,эсэсовец,"Геста́по (нем. Gestapo; сокращение от нем. Geheime Staatspolizei, «тайная государственная полиция») — политическая полиция Третьего рейха в ..."
ГЕСТАПОВЕЦ,профессия,"Гестаповцы арестовали одного за другим двух его сообщников, ... если в книге, названной «Моя профессия», совсем ничего не скажу о целом разделе ..."
ГИГИЕНИСТ,человек,Гигиенистом не возьмут работать человека с вирусными заболеваниями крови и психическими заболеваниями. Для эффективного проведения ...
ГИГИЕНИСТ,врач,
ГИГИЕНИСТ,специалист,"Стоматологический гигиенист является специалистом, который великолепно осведомлен о том, как осуществлять уход за полостью рта. Он не только ..."
ГИГИЕНИСТ,доктор,"Кроме того, врач-гигиенист должен уметь диагностировать и оказывать квалифицированную медицинскую помощь взрослым и детям. Выбирая себе ..."
ГИГИЕНИСТ,профессия,"2018 ж. 23 мам. - Профессия гигиенист. Гигиенист – это узкопрофильный врач-стоматолог, который проводит лечебно-профилактические мероприятия по ..."
ГИДРАТАЦИЯ,сольватация,
ГИДРАТАЦИЯ,соединение,Гидратация в водных растворах приводит к образованию стойких и нестойких соединений воды с растворенным веществом (гидратов); в органических ...
ГИДРИД,соединение водорода с металлами,"Гидри́ды — соединения водорода с металлами и с имеющими меньшую электроотрицательность, чем водород, неметаллами. Иногда к гидридам ..."
ГИДРИД,химический элемент,
ГИДРОЛИЗ,разложение,"Гидро́лиз (от др.-греч. ὕδωρ «вода» + λύσις «разложение») — сольволиз водой. Это химическая реакция взаимодействия вещества с водой, при ..."
ГИДРОЛИЗ,сольволиз,"Сольволиз — реакция обменного разложения между растворенным веществом и растворителем. Сольволиз в воде — гидролиз, сольволиз в аммиаке ..."
ГИДРОПОНИКА,рост,"При сравнении почвенного метода выращивания и гидропоники, люди ... гидропоника позволяет значительно ускорить рост растений и привести к их ..."
ГИДРОПОНИКА,выращивание растений,"Гидропоника - это способ выращивания растений без почвы, при котором растение получает из раствора все необходимые питательные вещества в ..."
ГИДРОЦИКЛ,транспорт,"Гидроцикл Kawasaki. Транспорт » Водный транспорт. 2 000 000 тг. Уральск, Парк Кирова 7 март. В избранные. Обычные объявления. Найдено 32 ..."
ГИДРОЦИКЛ,мотоцикл,"Гидроци́кл (водный мотоцикл, реже «аквабайк») — скоростное персональное водное транспортное средство (плавсредство) со стационарным ..."
ГИДРОЦИКЛ,аквабайк,"Гидроци́кл (водный мотоцикл, реже «аквабайк») — скоростное персональное водное транспортное средство (плавсредство) со стационарным ..."
ГИДРОЦИКЛ,авто,"Гидроцикл OLX.kz. ... Продам гидроцикл Yamaha gp1200r в хорошем состоянии. Транспорт » Водный ... Также ищут в категории ""Легковые авто"": ..."
ГИДРОЦИКЛ,водные лыжи,Перед вам лучший гидроцикл для вейкбординга и катания на водных лыжах – Sea-Doo WAKE PRO 230. Одна из главных особенностей – платформа ...
ГИПЕРБОЛА,график,"График функции вида ( ) представляет собой две ветви гиперболы. Если , то гипербола расположена в первой и третьей координатных четвертях (см."
ГИПЕРБОЛА,кривая,"На данном уроке мы познакомимся с определением данных кривых, научимся находить их фокусы, эксцентриситет, а также выполнять чертежи."
ГИПЕРБОЛА,геометрия,"Гипе́рбола (др.-греч. ὑπερβολή, от ὑπερ — «верх» + βαλειν — «бросать») — геометрическое место точек M евклидовой плоскости, для которых ..."
ГИПЕРКАР,авто,"Суперкар (от англ. super — «сверх» и car — «автомобиль») — условно выделяемый подкласс (верхний сегмент) более широкого класса спортивных автомобилей. Среди прочих спортивных автомобилей выделяется эксклюзивным ... Гиперкар (от англ. hypercar) — класс автомобилей, у которых показатели ..."
ГИПЕРКАР,машина,Суперкар (от англ. super — «сверх» и car — «автомобиль») — условно выделяемый ... Обычно к классу гиперкаров относят машины с максимальной скоростью выше 350 км/ч или с мощностью двигателя выше ~600 л. с.
ГИПЕРКАР,транспорт,
ГИПЕРКАР,суперкар,"Гиперкар бетіне өту - Гиперкар (от англ. hypercar) — класс автомобилей, у которых показатели мощности, скорости, манёвренности чрезвычайно ..."
ГИПЕРКАР,средство передвижения,"устройство или животное, при помощи которого кто-либо осуществляет перемещение ◇ Моше́нникам ну́жно сре́дство передвиже́ния, и понача́лу они́ ..."
ГИПЕРРЕАЛИЗМ,направление в исскустве,"Гиперреализм (др.-греч. ὑπέρ — над, сверх; лат. realis — вещественный) — направление в искусстве, ассоциировавшееся первоначально с ..."
ГИПЕРРЕАЛИЗМ,современное исскуство,2016 ж. 22 қар. - Искусство · ТОП-подборки ... В своих удивительных работах художники-гиперреалисты создают убедительную и правдоподобную ... Взгляните на лучшие современные работы в направлении «гиперреализм»: ...
ГИПЕРРЕАЛИЗМ,исскуство,"Гиперреализм (др.-греч. ὑπέρ — над, сверх; лат. realis — вещественный) — направление ... Superflat · Superstroke · Арт-интервенция; Гиперреализм; Искусство взаимоотношений · Неофутуризм · Параметризм · Саунд-арт ..."
ГИПЕРРЕАЛИЗМ,натурализм,"Гиперреализм (др.-греч. ὑπέρ — над, сверх; лат. realis — вещественный) — направление ... Гиперреализм в СССР · Натурализм (живопись) ..."
ГИПЕРРЕАЛИЗМ,живопись,"2016 ж. 22 қар. - Подборка удивительных художественных работ направления ""гиперреализм"", которые практически невозможно отличить от ..."
ГИПЕРТЕРМИЯ,перегревание,"Гипертермия (от др.-греч. ὑπερ- — «чрезмерно» и θέρμη — «теплота») — перегревание, накопление избыточного тепла в организме человека и ..."
ГИПЕРТЕРМИЯ,повышение температуры тела,"Гипертермия (от др.-греч. ὑπερ- — «чрезмерно» и θέρμη — «теплота») — перегревание, накопление избыточного тепла в организме человека и животных с повышением температуры тела, вызванное внешними факторами, ..."
ГИПЕРТЕРМИЯ,накопление тепла,
ГИПЕРТЕРМИЯ,лечение,"Гипертермия: причины, симптомы, диагностика, лечение, профилактика."
ГИПЕРТЕРМИЯ,терапия,Лечебная гипертермия — метод лечения онкологических заболеваний (злокачественных ... Европейские рекомендации исчерпываются применением гипертермии в составе комплексной терапии местнораспространенного рака ...
ГИПЕРТРОФИЯ,увеличение органа,"Гипертрофи́я (от др.-греч. ὑπερ- «чрез, слишком» + τροφή «еда, пища») — увеличение объёма и массы органа, клеток под влиянием различных ..."
ГИПЕРТРОФИЯ,рост органа,"Гипертрофи́я (от др.-греч. ὑπερ- «чрез, слишком» + τροφή «еда, пища») — увеличение объёма и массы органа, клеток под влиянием различных ..."
ГИПЕРТРОФИЯ,болезнь,"Гипертрофия левого желудочка: прогностическое значение, патогенез и ... Гипертрофия левого желудочка (ГЛЖ) рассматривается как основной ... левого и правого желудочков сердца у больных ишемической болезнью сердца с ..."
ГИПОТОНИК,больной,"2006 ж. 11 қаз. - И все же гипотония очень мешает жить: из-за вялого тонуса сосудов нарушается снабжение мозга кислородом, снижается ..."
ГИПОТОНИК,человек,"2006 ж. 11 қаз. - Назначая гипотонику стабилизирующие давление препараты, врач ... Лаборатории нейронаук и поведения человека ПАО Сбербанк ..."
ГИПОТОНИК,пациент,"2017 ж. 12 қыр. - И гипертония, и гипотония поддаются лечению, если не заниматься ... показатели пульса, а также, если пациент принимает лекарства, ..."
ГИПЮР,ткань,"Гипюр: состав ткани, свойства, достоинства и недостатки. гипюр цвета шампань. Гипюр – это ткань с воздушным кружевным орнаментом, который ..."
ГИПЮР,материал,"Материал выглядит очень изысканно, элегантно и дорого. Благодаря жесткости, гипюр хорошо держит форму. Из этой ткани шьют одежду, белье и ..."
ГИПЮР,кружева,"2017 ж. 28 жел. - Если вам интересно различие между кружевом и гипюром, предлагаем ответить на этот вопрос вместе. Отличия хорошо заметны на ..."
ГИРЯ,спорт товар,"Купить Гири в Алматы - цены, товары и услуги компании ""Магазин спортивных товаров - INTERSPORT.KZ "": +7 (727) 329-20-54."
ГИРЯ,предмет,"Ги́ря — специально изготовленный предмет заданной массы, обладающий специальной формой и другими конструктивными особенностями."
ГИРЯ,металлический груз,"По запросу «металлический груз» найдено 1 слово длинной 4 букв. 4 буквы. Гиря — Металлический груз определенного веса, служащий для упражнений ..."
ГИЧКА,шлюпка,"Гичка (ағыл. gig) – 1) шапшаң жүзетін 6- 8 ескекті жеңіл шлюпка. ... Гичка ағаштың қымбат түрінен (көбіне қызыл ағаштан) жасалып, лакпен сырланады."
ГИЧКА,судно,"Ги́чка — лёгкая быстроходная парусно-гребная шлюпка с 6-10 распашными вёслами, ... Типы парусных судов. Древний мир · Square-rigged (PSF).svg · Древний Восток · Египетская папирусная лодка • Египетский торговый корабль ..."
ГИЧКА,лодка,... рамках проекта «Все в одной лодке» некоммерческого партнёрства (НП) «Проект „Штандарт“». Гичка «Альфа» названа в честь одного из строителей ...
ГИЧКА,транспорт,"Ги́чка — лёгкая быстроходная парусно-гребная шлюпка с 6-10 распашными вёслами, ... Это заготовка статьи о морском транспорте. Вы можете помочь ..."
ГИЧКА,средство передвижения,Гичка. Гичка –легкая быстроходная шлюпка с обрезной транцевой кормой. ... гички являются средством передвижения в промышленном рыболовстве и ...
