ГИПЕРРЕАЛИЗМ,направление в исскустве,,,
ГИПЕРРЕАЛИЗМ,современное исскуство,,,
ГИПЕРРЕАЛИЗМ,исскуство,,,
ГИПЕРРЕАЛИЗМ,натурализм,Натурализм — направление в сценическом искусстве. См. также[править | править код]. Гиперреализм · Чернуха ( ...,https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D0%B8%D0%B7%D0%BC_(%D0%B8%D1%81%D0%BA%D1%83%D1%81%D1%81%D1%82%D0%B2%D0%BE),
ГИПЕРРЕАЛИЗМ,живопись,,,
ГИПЕРТЕРМИЯ,перегревание,"Гипертермия (от др.-греч. ὑπερ- — «чрезмерно» и θέρμη — «теплота») — перегревание, накопление избыточного тепла в организме человека и ...",https://ru.wikipedia.org/wiki/%D0%93%D0%B8%D0%BF%D0%B5%D1%80%D1%82%D0%B5%D1%80%D0%BC%D0%B8%D1%8F,
ГИПЕРТЕРМИЯ,повышение температуры тела,,,
ГИПЕРТЕРМИЯ,накопление тепла,,,
ГИПЕРТЕРМИЯ,лечение,,,
ГИПЕРТЕРМИЯ,терапия,,,
ГИПЕРТРОФИЯ,увеличение органа,,,
ГИПЕРТРОФИЯ,рост органа,,,
ГИПЕРТРОФИЯ,болезнь,,,
ГИПОТОНИК,больной,,,
ГИПОТОНИК,человек,,,
ГИПОТОНИК,пациент,,,
ГИПЮР,ткань,,,
ГИПЮР,материал,,,
ГИПЮР,кружева,,,
ГИРЯ,спорт товар,,,
ГИРЯ,предмет,,,
ГИРЯ,металлический груз,,,
ГИЧКА,шлюпка,"Боканцы — брусья, балки, выдающиеся за борт судна, для привешивания шлюпок, для подъёма тяжестей на палубу. Брасопить ... Гичка — шлюпка.",,
ГИЧКА,судно,,,
ГИЧКА,лодка,"2020 ж. 24 қаң. - На верфи «Полтава» такие лодки будут построены из фанеры, ... гичка — идеальная лодка, чтобы воспитывать и учить молодежь», ...",https://rusyf.ru/news/5990,
ГИЧКА,транспорт,,,
ГИЧКА,средство передвижения,,,
